108.15	165.8	167.85	259.55	223.25	76.2	92.45	107.15
48.45	87.35	67.775	77.5	45.475	49.5	36.95	45.825
8.3	9.3	11.2	4.9	10.2	0.3	5.3	2.9
636.6	1156.6	835.4	1155.3	1230.4	731.2	1004.1	417.5
56	59.3	58.78	98.1	87.98	79.26	54.88	57.66
5.6	9.1	1.2	7	6.7	9.2	5	2.6
4.1	1.1	0.8	1.7	3.8	0.5	2.5	0.7
160.9	466.25	176.25	474.6	427.3	537.4	246.75	116.2
160.9	317.9	138.1	444.1	291.7	496.3	123.2	292.4
1.6	9.1	3.2	3.6	1.8	6	1	3.9
49.5	63.6	52	32.2	137.1	118.1	37.8	34.6
285.95	690.4	537.575	764.275	1021.8	610.475	431.05	322.225
199.55	295.85	312.7	363.5	420.15	457.9	196.7	295.45
87.95	280.05	170.6	261.3	232.6	70.5	140.45	168.5
5.75	17.05	21.7	33.3	106.05	64.75	50.95	41.35
13.4	5.7	6.2	10.6	1.7	2.5	5.8	8.7
58.8	75.2	132.6	111.9	494.5	377.9	100.9	57.9
6.075	7.55	3.95	3.1	2.925	5.8	3.725	4.925
3354.55	2278	2293.75	1896	5312	6588.05	3147.4	5094
130.6	238.1	117.1	170.4	277.4	280.9	108.7	265.7
37.6	78.6	71.3	55.9	93.5	91.1	87.8	39
66.55	90.95	101.1	131.3	298.05	199.15	66.9	154.95
12.95	125.75	79	30.75	128.6	33.6	51.5	53.25
1.8	1.9	10.5	2.4	7.5	8.8	10.6	3.3
11.2	36.2	21.6	66	18.6	9.1	16	17.6
0.9	1.7	2.4	0.9	1.3	6.6	0.7	1.5
1431	1982.5	1159.9	2251.8	5577.2	4681.6	1123.2	3524.3
11.5	31.9	12.5	16.5	25.5	26.9	10.1	22.8
43.2	76.3	40.3	54.2	37.7	40.6	17.8	49.5
2.6	1.8	1.8	1.1	2.1	2.5	0.8	0.9
28.8	62.0666666666667	55.6333333333333	103.6	101.733333333333	40.2	44.9666666666667	43.2
51.75	98.05	42.5	41.95	75.95	60.7	27.85	30.95
71.5	54.2	80.7	137.25	101.95	105.45	52.75	134.85
4.6	10.15	19.55	24.35	10	14.45	5.2	10.5
68.4	4	3.2	8.1	13	10.3	10.2	7.5
18.4	76.7	51.4	3.8	118	93.1	12.5	106.6
1.8	0.5	1.1	1.1	1.6	1.6	2.8	0.3
51.4	59.7	49.6	70.7	86	215.7	26.6	68.4
41.5	53.7	68.3	56	153.5	127.9	65	115.3
11.3	0.9	2.7	30.6	8.3	21	2.2	15.3
132	466.05	235.4	389.2	252.2	122.85	57.5	174.1
34.2	54.6666666666667	38.5333333333333	61.4666666666667	56.4333333333333	43.1666666666667	29.0666666666667	37.5
2158.63333333333	1054.73333333333	1677.6	1981.93333333333	4411.66666666667	4819.4	1803.63333333333	2853.16666666667
5.28	6.18	7.42	6.04	7.34	4.8	5.94	7.08
32.2	56.7	37.8	43.8	32.8	33.4	29.4	38
16.65	39.7	65.4	49.65	87.25	8.1	23.55	30.95
